GENE	CHR	START	STOP	NSNPS	NPARAM	N	ZSTAT	P	SYMBOL
390992	1	6244158	6245578	4	2	486283	0.92775	0.17677	HES3
387509	1	6247346	6260990	35	4	485806	-0.66908	0.74828	GPR153
11332	1	6264272	6393766	395	25	486519	-0.37477	0.64608	ACOT7
54626	1	6415232	6424664	26	6	486949	0.2127	0.41578	HES2
83715	1	6424776	6460944	93	11	486726	0.33109	0.37029	ESPN
8718	1	6461151	6466195	13	5	487000	-0.73549	0.76898	TNFRSF25
57449	1	6466092	6520061	121	23	486593	0.030192	0.48796	PLEKHG5
79707	1	6521347	6554598	101	4	486621	-0.21914	0.58673	NOL9
80835	1	6555278	6579757	52	10	484687	0.64083	0.26082	TAS1R1
3104	1	6579991	6589280	7	3	487025	2.969	0.001494	ZBTB48
9903	1	6590724	6602898	29	8	487068	2.4114	0.0079457	KLHL21
148479	1	6613696	6624033	19	4	485869	2.6637	0.0038647	PHF13
90326	1	6624865	6635586	27	6	487266	3.0324	0.0012133	THAP3
55735	1	6634168	6701906	128	16	487091	2.5293	0.0057142	DNAJC11
23261	1	6785324	7769706	2423	203	486406	0.68727	0.24596	CAMTA1
9341	1	7771269	7781432	27	8	487434	1.1791	0.11918	VAMP3
8863	1	7784380	7845181	200	26	487050	1.0098	0.1563	PER3
10911	1	7847612	7913610	280	26	487071	0.1315	0.44769	UTS2
3604	1	7915871	7943165	45	7	486976	-0.5215	0.69899	TNFRSF9
11315	1	7961654	7985283	45	8	478537	0.029317	0.48831	PARK7
54206	1	8011719	8026333	22	4	487141	0.79057	0.2146	ERRFI1
50651	1	8318085	8344167	68	11	486971	2.0026	0.02261	SLC45A1
473	1	8352404	8817691	603	24	486982	2.3639	0.0090427	RERE
2023	1	8861000	8879092	25	5	487185	-0.095518	0.53805	ENO1
765	1	8945785	8975092	106	24	486938	0.49681	0.30966	CA6
155184	1	8960853	9026384	199	51	486525	1.1132	0.13281	SLC2A7
6518	1	9036943	9071704	92	14	486581	2.287	0.011098	SLC2A5
80045	1	9103391	9129170	55	10	486242	1.7431	0.040656	GPR157
9563	1	9234776	9271337	81	16	487095	-0.42324	0.66394	H6PD
80176	1	9292882	9369532	306	49	486500	-0.5373	0.70447	SPSB1
84275	1	9539469	9582773	59	10	485192	2.1587	0.015438	SLC25A33
199953	1	9588853	9614877	33	6	485986	2.5389	0.0055604	TMEM201
5293	1	9629889	9729114	172	30	486008	2.6198	0.0043993	PIK3CD
22883	1	9729021	9824526	110	12	485748	-0.48908	0.68761	CLSTN1
56998	1	9848276	9910258	62	11	485973	1.8484	0.032269	CTNNBIP1
84328	1	9922110	9943402	41	8	486254	-0.935	0.82511	LZIC
64802	1	9942923	9985501	75	11	486774	-0.72374	0.76539	NMNAT1
105376719	1	9996423	9998089	5	2	485796	-0.82528	0.79539	LOC105376719
116362	1	9997197	10016020	31	5	486572	-0.1553	0.56171	RBP7
10277	1	10032983	10181239	267	16	486354	0.040784	0.48373	UBE4B
23095	1	10210706	10381603	467	20	487022	0.56346	0.28656	KIF1B
5226	1	10398992	10420511	44	8	486796	-0.3093	0.62145	PGD
378708	1	10430102	10442815	27	4	487182	-1.2045	0.88581	APITD1
100526739	1	10430102	10452003	44	7	487163	-0.61008	0.72909	APITD1-CORT
1325	1	10449719	10452003	5	2	487322	-0.60865	0.72862	CORT
1676	1	10460531	10472556	15	4	486867	-1.3009	0.90336	DFFA
5195	1	10474946	10630758	361	29	486521	-0.27197	0.60718	PEX14
54897	1	10636604	10796676	400	82	485997	-0.22029	0.58718	CASZ1
148345	1	10946473	10982037	115	17	486345	-2.0221	0.97842	C1orf127
23435	1	11012622	11025492	19	4	486342	0.24161	0.40454	TARDBP
10747	1	11026523	11047239	49	8	486314	0.10091	0.45981	MASP2
6723	1	11054592	11060034	8	3	486132	-1.8419	0.96726	SRM
5394	1	11066613	11099910	89	6	486126	-1.2861	0.90079	EXOSC10
2475	1	11106531	11262557	291	9	486650	-1.3553	0.91234	MTOR
10218	1	11189289	11195981	14	2	486806	-1.1987	0.88468	ANGPTL7
29914	1	11273198	11296595	28	4	486312	-0.28361	0.61165	UBIAD1
57540	1	11479238	11537583	130	13	486664	-0.35399	0.63833	PTCHD2
26232	1	11648361	11654831	21	11	485534	0.71098	0.23855	FBXO2
93611	1	11654375	11663327	21	8	485554	0.73342	0.23165	FBXO44
26270	1	11664093	11674354	27	9	484827	1.0799	0.1401	FBXO6
10459	1	11674480	11691788	56	13	486469	0.29444	0.38421	MAD2L2
374946	1	11686647	11720612	92	19	486045	-0.70857	0.76071	DRAXIN
57085	1	11735474	11750771	33	8	486140	-0.91707	0.82045	AGTRAP
284498	1	11762183	11789585	140	11	487139	2.4004	0.0081878	C1orf167
4524	1	11785730	11806103	72	10	487107	1.8207	0.034325	MTHFR
1185	1	11806096	11843144	172	14	487041	1.7791	0.037608	CLCN6
4878	1	11845709	11847783	11	4	485952	1.6434	0.050153	NPPA
90231	1	11919588	11926428	20	7	486808	-1.3604	0.91315	KIAA2013
5351	1	11934667	11975542	108	13	487125	0.068853	0.47255	PLOD1
9927	1	11980181	12013515	76	8	486635	-0.030433	0.51214	MFN2
60672	1	12019242	12032049	21	5	486725	1.5778	0.057311	MIIP
943	1	12063330	12144207	187	39	486290	0.43937	0.3302	TNFRSF8
7133	1	12166949	12209222	112	16	486558	0.7668	0.2216	TNFRSF1B
55187	1	12230039	12512047	429	24	485661	-0.56073	0.71251	VPS13D
9249	1	12567910	12618361	152	30	473175	0.26404	0.39588	DHRS3
343066	1	12644547	12667086	47	6	486977	0.73975	0.22973	AADACL4
126767	1	12716115	12728759	39	6	436506	-0.47356	0.68209	AADACL3
93190	1	12746186	12761169	39	9	466367	-0.25837	0.60194	C1orf158
390999	1	12763223	12777906	40	8	456878	0.61164	0.27039	PRAMEF12
65121	1	12791397	12796628	12	3	479629	-1.2057	0.88603	PRAMEF1
440560	1	12824380	12831410	14	3	398586	-0.734	0.76853	PRAMEF11
343069	1	12847377	12848756	3	1	486567	0.18122	0.4281	HNRNPCL1
65122	1	12857086	12861909	12	3	480851	0.31273	0.37724	PRAMEF2
400735	1	12879212	12886201	3	2	480851	-0.65151	0.74264	PRAMEF4
343071	1	12892896	12898270	1	1	477993	1.8741	0.03046	PRAMEF10
440563	1	13115488	13116854	8	3	482209	-0.37048	0.64449	HNRNPCL2
729528	1	13341892	13347134	1	1	471522	-1.0322	0.849	PRAMEF14
645414	1	13368431	13371947	1	1	90278	0.95654	0.1694	PRAMEF19
391004	1	13389632	13392629	8	3	379447	-0.31508	0.62365	PRAMEF17
645425	1	13410450	13421354	2	1	471522	-1.0831	0.86062	PRAMEF20
126755	1	13474977	13513781	149	32	483779	1.6036	0.054398	LRRC38
10630	1	13583757	13617957	89	22	485867	-1.3111	0.90509	PDPN
7799	1	13700240	13825079	316	24	486207	0.12086	0.4519	PRDM2
23254	1	13893515	15118048	3973	333	484838	2.0863	0.018477	KAZN
55092	1	15152532	15220478	309	24	486686	-1.5142	0.93501	TMEM51
727684	1	15164196	15171624	23	6	486626	-1.2136	0.88754	C1orf195
114827	1	15236602	15400283	513	55	486424	1.3338	0.091135	FHAD1
79180	1	15409895	15430343	55	18	486757	1.4377	0.075253	EFHD2
11330	1	15438442	15449247	21	7	486979	0.29024	0.38582	CTRC
63036	1	15456728	15472091	51	8	486679	-0.26098	0.60295	CELA2A
51032	1	15476101	15491400	45	8	487026	-0.30093	0.61827	CELA2B
842	1	15491401	15526529	113	8	486838	-0.72029	0.76433	CASP9
23341	1	15526813	15571733	98	10	487056	-0.72397	0.76546	DNAJC16
79814	1	15571699	15585110	46	5	486460	-0.91951	0.82109	AGMAT
84301	1	15617458	15661057	81	6	487232	0.33557	0.3686	DDI2
6248	1	15659869	15661722	3	2	487511	0.59969	0.27436	RSC1A1
23207	1	15684267	15734769	130	12	486904	-0.057899	0.52309	PLEKHM2
284723	1	15735088	15741392	10	2	487360	-0.21148	0.58374	SLC25A34
388595	1	15742492	15747797	9	3	485438	0.25384	0.39981	TMEM82
54751	1	15756171	15786589	59	10	487206	1.0253	0.15261	FBLIM1
440567	1	15807162	15807699	3	1	487511	-1.3446	0.91062	UQCRHL
23013	1	15847864	15940455	130	16	486936	0.42705	0.33467	SPEN
7709	1	15941869	15976132	48	11	487061	-0.1453	0.55776	ZBTB17
101928566	1	15976131	15997206	65	11	486887	0.043274	0.48274	TBC1D3P6
149563	1	16004236	16006695	14	5	487104	1.3769	0.084266	C1orf64
27129	1	16014028	16018796	35	4	487511	-0.40361	0.65675	HSPB7
1187	1	16021991	16034050	57	9	485884	-0.082838	0.53301	CLCNKA
1188	1	16043736	16057326	82	11	486619	-0.34669	0.63559	CLCNKB
348487	1	16057769	16073632	48	8	486064	-0.37691	0.64688	FAM131C
1969	1	16124337	16156087	54	13	486606	-2.1197	0.98299	EPHA2
128272	1	16197856	16212671	42	5	486729	0.91142	0.18104	ARHGEF19
101927546	1	16215907	16227036	19	4	487302	0.68678	0.24611	ANO7P1
79363	1	16231687	16237452	11	4	487236	1.0111	0.15598	RSG1
54455	1	16246840	16352491	178	13	486891	0.61387	0.26965	FBXO42
26099	1	16367030	16398148	53	8	487110	1.0463	0.14771	SZRD1
374955	1	16387117	16437842	113	19	487033	0.10895	0.45662	SPATA21
55707	1	16440672	16460090	39	9	487055	-0.47409	0.68228	NECAP2
102724970	1	16535773	16536956	2	1	478465	1.679	0.046578	LOC102724970
9696	1	16895707	16972979	57	10	479904	1.3149	0.094278	CROCC
4237	1	16974500	16981643	14	3	484953	-0.1714	0.56805	MFAP2
23400	1	16985958	17011972	44	10	486825	0.19525	0.4226	ATP13A2
6390	1	17018722	17054170	107	11	487204	-0.087338	0.5348	SDHB
11240	1	17066761	17119453	226	15	486902	-0.16163	0.5642	PADI2
29943	1	17205123	17246006	136	38	486157	-0.76357	0.77744	PADI1
51702	1	17249082	17284233	146	22	486352	0.98974	0.16115	PADI3
23569	1	17308195	17364004	252	20	485711	-0.19077	0.57565	PADI4
353238	1	17372196	17401699	154	15	486041	-0.4349	0.66818	PADI6
55920	1	17406755	17439754	63	10	479941	-0.85308	0.80319	RCC2
55160	1	17520197	17697875	399	50	486156	-0.13405	0.55332	ARHGEF10L
81569	1	17712000	17827063	277	29	485138	1.4343	0.075738	ACTL8
84966	1	18107746	18378484	871	121	482532	-1.5822	0.94319	IGSF21
127707	1	18480930	18485999	17	4	487511	2.0128	0.022066	KLHDC7A
5081	1	18631006	18748866	311	56	480731	-1.4051	0.92	PAX7
80834	1	18839599	18859661	88	17	486877	0.075687	0.46983	TAS1R2
8659	1	18871430	18902799	118	18	485959	1.7127	0.043382	ALDH4A1
126917	1	18904280	18956667	150	31	486520	0.30844	0.37887	IFFO2
23352	1	19074506	19210319	224	21	487146	-0.34079	0.63337	UBR4
23065	1	19215664	19251559	84	11	487076	0.88551	0.18794	EMC1
51154	1	19251581	19260128	45	7	487063	0.58135	0.2805	MRTO4
22977	1	19274325	19289346	65	5	486999	0.64994	0.25786	AKR7A3
8574	1	19302708	19312146	24	9	487260	1.4823	0.069125	AKR7A2
54896	1	19312246	19332431	90	13	486515	0.92542	0.17737	PQLC2
832	1	19338773	19485641	440	24	487191	1.1863	0.11775	CAPZB
440574	1	19596977	19629821	64	13	486813	1.8279	0.033779	MINOS1
100532736	1	19596977	19658456	152	28	486675	1.7424	0.040722	MINOS1-NBL1
4681	1	19643229	19658456	50	15	486435	1.5435	0.061355	NBL1
3362	1	19665287	19680966	37	8	487077	1.7918	0.036582	HTR6
255104	1	19682213	19800353	352	49	486947	0.76044	0.22349	TMCO4
54546	1	19814029	19815278	7	4	484806	-1.6713	0.95267	RNF186
23252	1	19881702	19912945	66	14	487189	1.1037	0.13485	OTUD3
30814	1	19920307	19923617	15	5	487209	0.18337	0.42725	PLA2G2E
5320	1	19975431	19980439	11	5	487150	-0.4237	0.66411	PLA2G2A
5322	1	20028339	20091901	181	23	487202	3.2243	0.00063147	PLA2G5
26279	1	20112650	20119566	20	9	487388	1.8034	0.03566	PLA2G2D
64600	1	20139326	20150386	23	10	487248	1.2386	0.10775	PLA2G2F
391013	1	20163991	20175194	30	7	487156	2.8793	0.0019926	PLA2G2C
127733	1	20183302	20196048	12	4	486671	1.6743	0.047038	UBXN10
127731	1	20290907	20360221	217	28	487271	0.56813	0.28497	VWA5B1
55450	1	20482391	20486235	3	2	487007	-1.1923	0.88342	CAMK2N1
79594	1	20499448	20508181	23	8	486975	-1.2162	0.88805	MUL1
163933	1	20552439	20555020	2	1	487511	-0.81951	0.79375	FAM43B
978	1	20588951	20618908	107	18	486936	-0.17414	0.56912	CDA
65018	1	20633455	20651511	66	10	486984	-0.84539	0.80105	PINK1
1650	1	20651767	20661544	24	5	487091	-0.81141	0.79143	DDOST
57576	1	20661643	20718017	196	44	486839	0.53693	0.29566	KIF17
400745	1	20719731	20732640	34	9	487002	1.4292	0.07648	SH2D5
50809	1	20742677	20787310	84	16	486443	3.3528	0.00039992	HP1BP3
8672	1	20806292	21177320	600	22	486914	3.5406	0.00019958	EIF4G3
1889	1	21217247	21345541	307	34	487220	0.47643	0.31688	ECE1
84224	1	21435318	21484900	143	14	483280	-0.14821	0.55891	NBPF3
249	1	21508982	21578412	272	27	487139	0.060358	0.47594	ALPL
5909	1	21596215	21669375	234	47	487238	-1.4035	0.91977	RAP1GAP
84196	1	21678298	21783199	273	26	487045	0.45864	0.32324	USP48
401944	1	21812265	21825221	39	17	486179	0.48986	0.31212	LDLRAD2
3339	1	21822232	21937297	330	32	486370	0.37978	0.35205	HSPG2
23436	1	21976925	21998642	119	18	482266	-0.32747	0.62835	CELA3B
10136	1	22001656	22012542	37	7	483497	-0.063271	0.52522	CELA3A
998	1	22052627	22092943	78	13	486874	1.7489	0.040151	CDC42
54361	1	22117305	22143981	82	15	486931	1.8816	0.029949	WNT4
9923	1	22428838	22531157	151	20	486743	1.1632	0.12237	ZBTB40
2046	1	22563508	22603594	131	21	486672	-0.75626	0.77525	EPHA8
712	1	22636625	22639682	5	2	487322	-0.064159	0.52558	C1QA
714	1	22643625	22648110	17	3	486884	0.3704	0.35554	C1QC
713	1	22653179	22661552	18	5	487427	-0.71811	0.76366	C1QB
2048	1	22710770	22915330	407	52	486857	-0.39691	0.65428	EPHB2
646262	1	22953043	22972316	47	11	486645	-0.67218	0.74926	LACTBL1
729059	1	23010834	23015850	8	3	487511	-1.3436	0.91046	C1orf234
23028	1	23019443	23083691	69	9	486939	-1.6178	0.94715	KDM1A
7798	1	23084023	23177808	139	17	486928	-1.5465	0.93901	LUZP1
3352	1	23191895	23194729	5	2	487511	0.71871	0.23616	HTR1D
10236	1	23304688	23344650	29	6	487159	0.19746	0.42173	HNRNPR
80818	1	23359448	23369864	25	5	487241	-0.79251	0.78597	ZNF436
6920	1	23380909	23424779	103	17	486581	0.54183	0.29397	TCEA3
55616	1	23428563	23484567	91	12	486302	1.3902	0.08223	ASAP3
1870	1	23505974	23531250	43	7	486490	1.2367	0.1081	E2F2
3399	1	23557930	23559794	8	4	486496	2.4328	0.0074913	ID3
6135	1	23691779	23696425	12	4	486074	0.21156	0.41623	RPL11
6924	1	23743366	23762059	18	8	486785	-0.52469	0.7001	TCEB3
57095	1	23778386	23788232	7	4	486546	1.3834	0.083269	PITHD1
11313	1	23790785	23795539	2	1	486567	1.6017	0.054609	LYPLA2
2582	1	23795599	23800804	1	1	487511	2.1472	0.01589	GALE
3155	1	23801877	23825459	20	3	487124	1.4194	0.077888	HMGCL
2517	1	23845077	23868369	35	7	485624	1.5381	0.062015	FUCA1
1269	1	23873463	23913327	170	11	485788	1.7983	0.036061	CNR2
55629	1	23959811	23963462	5	2	407876	3.8327	6.338e-05	PNRC2
10772	1	23964347	23980463	8	3	482917	3.7224	9.8675e-05	SRSF10
127294	1	24056041	24112175	161	20	487183	2.0337	0.02099	MYOM3
58985	1	24119771	24143285	56	12	487359	0.74959	0.22675	IL22RA1
163702	1	24154157	24187275	119	18	486570	-1.3104	0.90497	IFNLR1
57822	1	24319322	24364482	99	22	486548	0.88497	0.18809	GRHL3
90529	1	24356999	24415497	138	17	487114	0.29569	0.38373	STPG1
57185	1	24413674	24472983	153	14	487223	0.8478	0.19827	NIPAL3
11123	1	24502351	24537020	87	13	487039	1.0734	0.14155	RCAN3
400746	1	24556076	24609328	194	27	487194	-1.0861	0.86129	NCMAP
10250	1	24643012	24673281	23	6	486553	0.11999	0.45225	SRRM1
25932	1	24745269	24844324	71	10	487060	0.8936	0.18577	CLIC4
864	1	24899511	24965157	108	23	487001	1.6215	0.05246	RUNX3
25949	1	25222276	25232522	5	3	481438	-1.3673	0.91423	SYF2
57035	1	25242249	25267915	21	10	482999	0.25265	0.40027	RSRP1
6007	1	25272393	25330445	2	1	482752	0.62492	0.26601	RHD
23585	1	25338298	25362361	23	6	487010	-2.2845	0.98883	TMEM50A
6006	1	25360659	25430192	73	5	485544	-0.19187	0.57608	RHCE
55219	1	25430858	25500209	84	5	487069	0.03308	0.48681	TMEM57
26119	1	25543580	25591287	110	17	486744	-0.23899	0.59444	LDLRAP1
57134	1	25617468	25786207	276	26	486270	-0.38744	0.65078	MAN1C1
57190	1	25800176	25818222	35	4	487414	0.57648	0.28215	SEPN1
56181	1	25819906	25832942	24	2	487322	0.63554	0.26254	MTFR1L
79000	1	25831913	25859458	57	3	487072	0.14707	0.44154	AUNIP
164091	1	25861484	25876707	14	4	486467	1.8214	0.034271	PAQR7
3925	1	25884186	25906877	30	6	486624	1.6628	0.048175	STMN1
5051	1	25959764	25998581	69	6	486958	-1.5468	0.93904	PAFAH2
2134	1	26021741	26036464	18	5	487343	-0.79466	0.78659	EXTL1
7780	1	26038022	26046138	13	3	486735	-1.3467	0.91096	SLC30A2
105376910	1	26045895	26049057	8	2	487322	-1.358	0.91277	LOC105376910
84676	1	26051304	26067634	33	5	487328	-0.3925	0.65265	TRIM63
149420	1	26111165	26125548	25	3	487047	-1.2735	0.89858	PDIK1L
79927	1	26159008	26162628	9	4	486941	-0.48653	0.68671	FAM110D
105376887	1	26165313	26169802	9	4	487175	0.00030011	0.49988	LOC105376887
51042	1	26169897	26170873	4	2	487511	0.84472	0.19913	ZNF593
10256	1	26177490	26189884	23	7	487248	0.40776	0.34172	CNKSR1
378807	1	26190587	26202542	51	9	487313	0.954	0.17004	CATSPER4
64793	1	26234153	26279038	123	11	487272	0.69543	0.24339	CEP85
83442	1	26279722	26281522	4	2	487133	0.11925	0.45254	SH3BGRL3
91544	1	26282282	26318265	111	10	487194	0.30313	0.3809	UBXN11
1043	1	26317920	26320523	11	3	486732	-0.17975	0.57133	CD52
55057	1	26321859	26354130	85	13	487145	-0.82908	0.79647	AIM1L
257101	1	26361632	26374533	36	7	487359	-0.29054	0.6143	ZNF683
79727	1	26410778	26429728	33	11	487328	1.0241	0.15289	LIN28A
79947	1	26432282	26471306	52	13	487166	2.1805	0.01461	DHDDS
3151	1	26472411	26476642	7	3	487214	0.47912	0.31593	HMGN2
6195	1	26529758	26575030	78	11	487129	-0.0012258	0.50049	RPS6KA1
101928728	1	26692063	26696405	8	3	487322	1.3223	0.09304	LOC101928728
8289	1	26696031	26782110	94	8	487134	1.1798	0.11903	ARID1A
55650	1	26787963	26798403	11	5	487184	1.1006	0.13554	PIGV
84243	1	26826710	26855720	40	8	487223	1.8841	0.029776	ZDHHC18
2810	1	26863142	26864456	1	1	487511	0.47246	0.3183	SFN
54707	1	26879382	26890378	17	4	487244	2.0079	0.022325	GPN2
63906	1	26890488	26901065	12	6	483483	1.4523	0.073203	GPATCH3
10726	1	26911128	26946871	46	10	486885	1.7834	0.037263	NUDC
8431	1	26911484	26914076	3	2	487511	0.81603	0.20724	NR0B2
126695	1	26949556	26960484	11	3	487511	1.286	0.099223	KDF1
388610	1	26993667	27000886	7	4	486944	1.3689	0.085509	TRNP1
115572	1	27005020	27012842	8	3	487133	1.0435	0.14835	FAM46B
6548	1	27098809	27155130	56	7	486626	-1.0746	0.85872	SLC9A1
23038	1	27234516	27308633	94	13	486543	0.2665	0.39493	WDTC1
84065	1	27322145	27336400	31	8	487261	0.069519	0.47229	TMEM222
84958	1	27341992	27353932	24	9	487046	-0.090719	0.53614	SYTL1
9064	1	27355179	27368014	21	7	487133	0.25657	0.39876	MAP3K6
8547	1	27369110	27374825	8	5	486873	0.22952	0.40923	FCN3
388611	1	27379100	27383333	2	1	289367	0.93802	0.17412	CD164L2
2827	1	27392644	27395814	3	2	486503	-0.74425	0.77164	GPR3
10163	1	27404226	27490187	111	9	475898	1.4475	0.07388	WASF2
27245	1	27534245	27604178	61	11	486327	-1.0633	0.85618	AHDC1
2268	1	27612289	27635561	40	7	486360	0.34581	0.36474	FGR
2537	1	27666061	27672213	8	3	484517	1.3696	0.085401	IFI6
199870	1	27725979	27762915	60	4	486642	-0.47348	0.68207	FAM76A
23673	1	27773183	27824452	40	4	486309	-1.124	0.86948	STX12
5511	1	27830741	27851672	20	4	486370	0.0068646	0.49726	PPP1R8
9473	1	27872543	27886685	48	9	486608	1.9139	0.027814	THEMIS2
6118	1	27891524	27914797	50	4	486350	2.041	0.020623	RPA2
27293	1	27934948	27959157	66	10	486566	0.67458	0.24997	SMPDL3B
55113	1	27959462	27968096	19	7	486215	0.73745	0.23042	XKR8
2140	1	27970344	28088675	210	24	486758	-0.53183	0.70258	EYA3
